FName,LName,AreaCode,Phone,City,State,Zip,MaritalStatus,HasChild,Salary,Rate,SingleExemp,ChildExemp
Qingyan,Dalphin, 505,157-1370,CAPITAN,NM,88316,S,Y,95500,5.3,3300,3300
Suzanne,Debregeas, 308,191-1022,OMAHA,NE,68179,M,Y,14500,4.70888,0,103
Euripides,Varghese, 636,103-1767,JEFFERSON CITY,MO,65111,S,Y,84500,6.0,2100,1200
Hannes,Luger, 317,120-2004,WALDRON,IN,46182,S,Y,30500,3.4,1000,1000
Moktar,Iversen, 971,186-1493,BEND,OR,97707,S,N,49000,9.0,159,0
Keung,Zisserman, 202,160-1078,WASHINGTON,DC,20453,M,Y,33500,9.0,0,1370
Masahiro,Smeets, 443,116-1629,SILVER SPRING,MD,20911,S,Y,78000,4.75,2400,2400
Weidon,Khair, 219,158-1027,INDIANAPOLIS,IN,46209,S,Y,26000,3.4,1000,1000
Naotaka,Hegenbarth, 770,105-1230,EMERSON,GA,30137,M,Y,66000,6.0,0,3000
Geraud,Cai, 307,116-1700,HARTVILLE,WY,82215,S,Y,9500,0.0,0,0
Newman,Hatkanagalekar, 808,181-1853,PUKALANI,HI,96788,M,Y,55000,8.25,0,1040
Daan,Coggins, 808,115-1008,KULA,HI,96790,M,N,71500,8.25,0,0
Teodor,Orleans, 907,165-1119,HYDER,AK,99923,S,Y,32000,0.0,0,0
Raphael,Nuutila, 234,127-1905,GREENTOWN,OH,44630,S,Y,90500,3.5501614,1300,1300
Wilmer,Raoux, 234,197-1584,BETHEL,OH,45106,M,Y,15000,1.0439488,0,1300
Tomi,Junot, 520,114-1129,WINKELMAN,AZ,85192,M,N,6500,2.87,0,0
Yishay,Schonlau, 912,184-2053,GAINESVILLE,GA,30507,S,N,58000,6.0,2700,0
Yuhsi,Chung, 937,187-1321,CINCINNATI,OH,45248,M,Y,30000,1.5418718,0,1300
Baruch,Rachui, 406,124-1742,MC LEOD,MT,59052,S,Y,12500,6.187931,1900,1900
Carey,Pelechano, 207,186-1063,CANTON,ME,04221,S,Y,76000,8.5,2850,2850
Angus,Zieschang, 848,100-1590,HAZLET,NJ,07730,M,N,68500,2.1648855,0,0
Jinx,Abbara, 939,110-1262,PALMER,PR,00721,S,N,58000,0.0,0,0
Xuemei,Andreasen, 605,150-1250,NEWELL,SD,57760,M,Y,72500,0.0,0,0
Venky,Sawamiphakdi, 787,163-1637,GUAYAMA,PR,00784,M,N,20000,0.0,0,0
Huaqing,Moursund, 808,143-2048,HONAUNAU,HI,96726,M,Y,59500,8.25,0,1040
Noriyoshi,Wendel, 501,176-1565,LITTLE ROCK,AR,72231,M,Y,83500,7.0,0,20
Nazim,Wrzyszcz, 573,109-1856,CHILHOWEE,MO,64733,M,N,69500,6.0,0,0
Asim,Vicolov, 303,119-1766,ROMEO,CO,81148,M,Y,36000,4.63,0,0
Chengxiang,Il'in, 801,165-1389,PROVO,UT,84601,S,Y,63000,7.0,2475,2475
Jianzhong,Korcuska, 701,151-1350,MARMARTH,ND,58643,M,Y,37500,2.1904194,0,3300
Uminder,Tekampe, 661,136-1254,BUELLTON,CA,93427,M,Y,27000,5.8823113,0,272
Uta,Rodding, 206,109-1118,HUNTERS,WA,99137,M,Y,29000,0.0,0,0
Harrick,Demmer, 719,194-1251,LAFAYETTE,CO,80026,S,N,70000,4.63,0,0
Margaret,Graw, 603,165-1060,RUMNEY,NH,03266,S,Y,6500,0.0,0,0
Cun,Castellani, 302,146-1781,LEWES,DE,19958,M,N,16500,2.9840908,0,0
Saul,Dimakopoulos, 302,131-1724,CAMDEN WYOMING,DE,19934,M,N,56500,5.711364,0,0
Ioana,Tonnesen, 208,117-1253,FRUITLAND,ID,83619,S,Y,3000,2.1226044,3300,3300
Shoham,Herity, 401,187-1492,WESTERLY,RI,02891,S,Y,93500,0.0,0,0
Yasusuke,Hatsagi, 919,138-1443,STEDMAN,NC,28391,M,Y,35000,6.466783,0,3300
Uresh,Adleman, 501,127-1056,VAN BUREN,AR,72957,S,Y,71500,7.0,20,20
Ruixin,Prats, 574,109-1553,JEFFERSONVILLE,IN,47130,M,Y,6000,3.4,0,1000
Zsuzsa,Alberts, 304,121-1200,PROCTOR,WV,26055,M,Y,84000,6.5,0,2000
Osaaki,Torlone, 812,184-1361,SOUTH BEND,IN,46637,S,N,48000,3.4,1000,0
Haiko,Che, 860,140-1332,ORANGE,CT,06477,M,N,77000,5.0,0,0
Klara,Krevner, 541,190-1324,LA PINE,OR,97739,S,Y,23000,9.0,159,159
Demin,Gutz, 325,128-1769,CONROE,TX,77305,S,N,1500,0.0,0,0
Rajaram,Gavrilov, 307,161-1176,GILLETTE,WY,82717,M,N,47000,0.0,0,0
Kohji,Keutzer, 515,199-1861,SPRINGBROOK,IA,52075,S,N,96500,8.98,40,0
Avis,Legget, 620,103-1703,INDEPENDENCE,KS,67301,S,N,37500,6.45,2250,0
Jaroslav,Szemeredi, 307,136-1461,MILLS,WY,82644,M,Y,60500,0.0,0,0
Xinghao,Reed, 702,137-1687,FALLON,NV,89496,M,N,90000,0.0,0,0
Gueesang,Hoeve, 480,126-1807,SASABE,AZ,85633,M,N,11000,2.8855,0,0
Narayan,Sandak, 580,143-1913,GRACEMONT,OK,73042,S,N,17000,6.25,1000,0
Naohito,Mallorqui, 774,106-1737,BOSTON,MA,02293,S,Y,31500,5.3,3575,1000
Yuemin,Machta, 605,191-1401,WOUNDED KNEE,SD,57794,S,Y,9500,0.0,0,0
Zhu,Clough, 302,197-1232,CHESWOLD,DE,19936,S,N,76500,5.95,110,0
Domenick,Wossner, 573,138-1106,STOUTLAND,MO,65567,S,Y,44500,6.0,2100,1200
Raid,Demmer, 307,115-1924,CASPER,WY,82605,S,Y,55000,0.0,0,0
Cornelius,Ertel, 701,115-1452,CHURCHS FERRY,ND,58325,S,N,4000,2.1,3300,0
Gerth,Subhlok, 401,165-1241,ASHAWAY,RI,02804,M,Y,15000,0.0,0,0
Utpal,Nerode, 931,118-1015,HELENWOOD,TN,37755,M,Y,77000,0.0,0,0
Sunggu,Tzruya, 213,145-1310,FRESNO,CA,93761,S,N,10000,1.869,87,0
Joonwon,McFarlin, 260,148-1819,ODON,IN,47562,M,Y,22000,3.4,0,1000
Ryutarou,Karavelas, 802,195-1950,SAINT ALBANS BAY,VT,05481,S,Y,64000,4.278435,3300,3300
Fanica,Cichosz, 308,127-1033,HUBBELL,NE,68375,S,Y,48000,6.84,103,103
Perla,Eoyang, 208,117-1309,MULLAN,ID,83846,S,N,74500,7.8,3300,0
Ware,Bercovich, 775,188-1875,INCLINE VILLAGE,NV,89451,S,N,45000,0.0,0,0
Yinlin,Harnpanichpun, 830,141-1289,WESTBROOK,TX,79565,M,N,98500,0.0,0,0
Nari,Forker, 785,124-1116,SALINA,KS,67402,S,N,54000,6.45,2250,0
Isik,Foyster, 605,121-1605,ABERDEEN,SD,57401,S,Y,69000,0.0,0,0
Lougie,Sethi, 773,176-1567,MONROE CENTER,IL,61052,M,Y,43500,3.0,0,2000
Farahangiz,Stefano, 203,135-1024,BRIDGEPORT,CT,06604,M,N,35500,5.0,0,0
Debanjan,Adorni, 802,107-1592,WEBSTERVILLE,VT,05678,M,Y,70500,4.407756,0,3300
Shogo,Greibach, 808,178-2027,KAPAA,HI,96746,S,N,39500,8.159868,1040,0
Kien,Laubscher, 808,190-1837,M C B H KANEOHE BAY,HI,96863,S,N,66000,8.25,1040,0
Rajeev,Randt, 308,123-1377,OMAHA,NE,68145,M,N,55500,6.84,0,0
Pradip,Pews, 573,194-1061,PRINCETON,MO,64673,M,N,85000,6.0,0,0
Steven,Marandjian, 907,147-1396,HYDER,AK,99923,M,N,9500,0.0,0,0
Carine,Copas, 808,163-1123,HOLUALOA,HI,96725,S,N,51000,8.25,1040,0
Estarose,Garnier, 484,146-1503,HERRICK CENTER,PA,18430,M,Y,18000,3.07,0,0
Shigeaki,Rubio, 706,180-2079,CHESTNUT MOUNTAIN,GA,30502,S,N,74500,6.0,2700,0
Mai,Domenig, 701,112-1969,FARGO,ND,58124,M,N,88000,2.7758281,0,0
Mariusz,Carla, 407,187-1917,TAMPA,FL,33635,S,Y,12500,0.0,0,0
Yenjo,Eizirik, 808,196-1386,HONOLULU,HI,96822,M,N,47000,8.25,0,0
Wuu,Toinard, 810,154-1935,COPPER CITY,MI,49917,M,Y,82500,3.9,0,3100
Akira,Tuminaro, 623,168-1515,TUCSON,AZ,85755,M,N,95500,4.19525,0,0
Mandana,Sporl, 765,156-1448,FISHERS,IN,46037,M,Y,20000,3.4,0,1000
Kuniji,Sanghavi, 808,140-1733,HONOLULU,HI,96816,S,N,70500,8.25,1040,0
Jois,Canon, 310,188-1822,LOWER LAKE,CA,95457,S,Y,78000,9.3,87,272
Huatian,Ade, 787,104-1846,LAS MARIAS,PR,00670,S,N,16000,0.0,0,0
Idris,Raamot, 870,133-1038,ELIZABETH,AR,72531,S,Y,64000,7.0,20,20
Pranay,Ponighaus, 321,175-2058,TRENTON,FL,32693,M,Y,34500,0.0,0,0
Styliani,Meszyk, 254,110-1661,SPURGER,TX,77660,M,Y,22000,0.0,0,0
Chander,Kampfer, 918,154-1542,SAPULPA,OK,74066,M,Y,39000,6.25,0,1000
Rudi,Sanden, 208,147-1169,MURRAY,ID,83874,S,N,30500,7.8,3300,0
Wenchang,Coxson, 203,196-1773,NORTH WESTCHESTER,CT,06474,M,N,95000,5.0,0,0
Mingdong,Armand, 319,127-1697,GILBERTVILLE,IA,50634,M,N,91500,8.98,0,0
Stefanka,Sciarra, 203,168-1465,STAMFORD,CT,06914,M,N,68500,5.0,0,0
Masud,Sahulka, 559,110-1389,LONG BEACH,CA,90806,M,N,27500,6.00035,0,0
Benet,Debackere, 859,145-1755,WHICK,KY,41390,M,Y,23500,3.1388888,0,20
Xiaobin,Chetali, 712,141-1350,MALVERN,IA,51551,M,N,14500,2.4025745,0,0
Antoin,Cecil, 787,144-1388,SAN JUAN,PR,00939,S,Y,14000,0.0,0,0
Karan,Macnee, 939,103-1280,BARRANQUITAS,PR,00794,M,Y,36500,0.0,0,0
Sungju,Hudlicka, 503,186-1446,LEXINGTON,OR,97839,S,N,6500,8.948718,159,0
Yongmao,Nauman, 864,185-1410,WATERLOO,SC,29384,S,Y,82500,7.0,3300,3300
Tong,Gluch, 401,120-1143,TIVERTON,RI,02878,S,Y,21500,0.0,0,0
Haym,Lycett, 765,134-1127,INDIANAPOLIS,IN,46277,M,N,44500,3.4,0,0
Sophia,Kukimoto, 939,166-1976,MARICAO,PR,00606,M,Y,4000,0.0,0,0
Bethina,Horswill, 207,149-2077,KENNEBUNK,ME,04043,M,Y,68500,8.5,0,2850
Huaiqing,Fushchich, 310,142-1564,DESERT CENTER,CA,92239,M,Y,24500,5.2921185,0,272
Yul,Oostrum, 864,165-1445,CHARLESTON AFB,SC,29404,M,Y,57500,7.0,0,3300
Lynette,Shmyglevsky, 603,155-1660,HEBRON,NH,03241,S,N,93500,0.0,0,0
Sidi,Wattum, 808,169-1171,HONOLULU,HI,96816,S,Y,39000,8.0697365,1040,1040
Ravindra,Carla, 509,179-1272,ONALASKA,WA,98570,S,Y,90000,0.0,0,0
Subra,Kakizaki, 731,112-1853,NASHVILLE,TN,37213,M,Y,68000,0.0,0,0
Ramachander,Reboh, 605,102-1111,LANTRY,SD,57636,S,Y,34000,0.0,0,0
Yassine,Tanemo, 410,103-1922,RIDGELY,MD,21686,S,Y,86000,4.75,2400,2400
Neophytos,Zadeh, 240,164-1442,BALTIMORE,MD,21264,S,N,26500,4.75,2400,0
LouAnne,Constantine, 775,171-1159,HENDERSON,NV,89015,S,Y,8000,0.0,0,0
Hongying,Rikino, 928,172-1367,GREER,AZ,85927,S,Y,5500,2.87,2100,2300
Dewayne,Vaitis, 808,186-1679,WAIANAE,HI,96792,M,Y,11000,3.0223684,0,1040
Edwige,Negroponte, 606,138-1767,MAYFIELD,KY,42066,S,N,45000,4.333333,20,0
Syam,Marinescu, 305,150-1315,WAUCHULA,FL,33873,S,Y,43500,0.0,0,0
Edyta,Komosinski, 315,180-1032,BRENTWOOD,NY,11717,S,Y,92500,4.489482,0,1000
Cezary,Hertweck, 517,120-1368,PALO,MI,48870,S,N,50500,3.9,3100,0
Moray,Guillier, 215,180-1986,REXMONT,PA,17085,M,Y,94500,3.07,0,0
Vijnan,Acklen, 734,153-1862,DETROIT,MI,48233,M,Y,57500,3.9,0,3100
Domen,Hoogendoorn, 720,138-1674,PITKIN,CO,81241,M,N,73500,4.63,0,0
Nada,Mines, 302,198-1701,WILMINGTON,DE,19810,M,N,9500,2.5068183,0,0
Shish,Ruder, 509,144-1300,PRESTON,WA,98050,M,Y,95000,0.0,0,0
Rajshekhar,Sugawara, 440,131-1522,ANSONIA,OH,45303,M,N,78500,3.151823,0,0
Owen,Narwekar, 623,100-1092,PHOENIX,AZ,85008,M,Y,76000,3.893,0,2300
Reidar,Goubault, 870,165-1686,LIGHT,AR,72439,M,N,52500,7.0,0,0
Cezary,Broner, 406,133-1402,MISSOULA,MT,59808,M,N,33500,6.9,0,0
Birte,Bergamini, 828,167-2002,CALYPSO,NC,28325,S,N,60500,7.001748,3300,0
Umpei,Heisel, 808,116-1767,HONOLULU,HI,96846,S,Y,6500,2.2111843,1040,1040
Alia,Thorensen, 601,178-1637,WASHINGTON,MS,39190,S,Y,62000,5.0,6000,1500
Ware,Khang, 334,142-1633,COY,AL,36435,M,Y,16500,5.0,0,300
Agnieszka,Colnari, 928,179-1959,CHANDLER,AZ,85246,S,N,59000,3.6295,2100,0
Dhaval,Skillicorn, 413,136-1913,OAKHAM,MA,01068,S,N,41000,5.3,3575,0
Yiwan,Ramanna, 256,120-1688,MONROEVILLE,AL,36460,M,N,41500,5.0,0,0
Hakan,Wellner, 313,150-2092,ALBA,MI,49611,S,Y,82500,3.9,3100,3100
Yury,Hatcher, 307,184-1874,GROVER,WY,83122,M,Y,9500,0.0,0,0
Pentti,Birnbaum, 351,129-1823,SOUTH WALPOLE,MA,02071,S,N,54000,5.3,3575,0
Margaret,Cornu, 401,129-1748,WARWICK,RI,02889,M,Y,40500,0.0,0,0
Sudhanshu,Mitina, 510,144-2073,SALIDA,CA,95368,S,Y,42500,9.3,87,272
Luping,Haralick, 502,116-1085,SOMERSET,KY,42503,S,N,78500,6.0,20,0
Kazuhira,Viguier, 860,143-1662,EAST KILLINGLY,CT,06243,S,Y,4000,3.0,12750,0
Katrina,Gerteisen, 920,160-1913,WAUNAKEE,WI,53597,S,N,16000,4.724406,700,0
Tzay,Pluym, 720,116-1872,HOEHNE,CO,81046,M,Y,92000,4.63,0,0
Tomoyoshi,Nivat, 828,106-1745,POLKTON,NC,28135,M,N,38500,6.54021,0,0
Asgeir,Laemmer, 701,162-1189,JAMESTOWN,ND,58401,M,Y,54000,2.3816915,0,3300
Borka,Kahane, 208,151-1926,THATCHER,ID,83283,M,N,95000,7.8,0,0
Balaram,Ranai, 360,113-1834,TACOMA,WA,98403,M,Y,66000,0.0,0,0
Shaogang,Wika, 402,148-1399,LINCOLN,NE,68502,S,N,48000,6.84,103,0
Williams,Eustace, 865,157-1425,CLARKSVILLE,TN,37043,M,N,76500,0.0,0,0
Saied,Ducloy, 443,156-1768,BALTIMORE,MD,21284,M,N,14000,4.75,0,0
Laurence,Rienhoff, 240,157-1186,WALDORF,MD,20601,M,N,66000,4.75,0,0
Vaishnavi,Caulfield, 251,148-1259,NEW CASTLE,AL,35119,S,Y,38000,5.0,1500,300
Yanchun,Narasimhan, 267,164-1461,JERSEY MILLS,PA,17739,M,N,57500,3.07,0,0
Marl,Bernick, 440,101-1709,FREMONT,OH,43420,M,N,57500,2.454731,0,0
Ceriel,Leuschel, 202,103-1662,WASHINGTON,DC,20251,M,Y,4500,4.5,0,1370
Kunikazu,Daun, 240,130-1644,MONKTON,MD,21111,S,N,2000,3.375,2400,0
Sungwon,Tvrdik, 307,119-1777,LANCE CREEK,WY,82222,M,N,25500,0.0,0,0
Claus,Jungst, 563,109-1877,LYTTON,IA,50561,M,N,82500,8.98,0,0
Ryuji,Tournassoud, 812,170-1595,CYNTHIANA,IN,47612,S,Y,70000,3.4,1000,1000
Cristina,Jenkins, 513,149-1230,NORTH LAWRENCE,OH,44666,S,N,39500,1.8572232,1300,0
Franis,Kolmogorov, 308,126-1868,NICKERSON,NE,68044,M,N,42500,6.84,0,0
CPT,Wegerle, 907,135-1534,BETHEL,AK,99559,S,Y,45000,0.0,0,0
Mang,Viccari, 925,187-1701,CASMALIA,CA,93429,M,Y,33000,7.2987742,0,272
Turner,Docter, 304,127-1982,DAVISVILLE,WV,26142,S,N,16500,3.455,2000,0
Padmashree,Bazelow, 802,124-1290,EAST ARLINGTON,VT,05252,M,N,2000,3.6,0,0
Jianxiu,Erol, 217,137-1564,HAMPTON,IL,61256,M,N,85000,3.0,0,0
Choon,Zabel, 616,198-1029,LOWELL,MI,49331,S,N,45500,3.9,3100,0
Mark,Berwick, 301,171-1105,BALTIMORE,MD,21275,M,Y,9500,4.75,0,2400
Vladdimir,Calingaert, 860,135-1869,HARTFORD,CT,06160,M,Y,25000,5.0,0,0
Giacinto,Kirkerud, 319,142-1171,ORAN,IA,50664,S,Y,75500,8.98,40,40
Cristina,Hiltgen, 207,136-2056,WALPOLE,ME,04573,S,Y,33500,8.5,2850,2850
Lyndon,McLellan, 907,190-1910,ANCHORAGE,AK,99513,S,Y,42500,0.0,0,0
Fay,Kornacker, 252,174-1754,RALEIGH,NC,27613,S,N,73000,7.263986,3300,0
CongDuc,Nadella, 985,109-1539,LETTSWORTH,LA,70753,S,N,73000,6.0,4500,0
Satoru,Validov, 501,184-1136,REYNO,AR,72462,S,N,37000,7.0,20,0
Wesley,Schallart, 402,197-1811,NEWPORT,NE,68759,S,N,39500,6.84,103,0
Jayme,Heiser, 703,127-1780,BRISTOL,VA,24205,M,Y,77500,5.75,0,900
Ambrose,Culetu, 765,146-2077,HARTSVILLE,IN,47244,S,N,95500,3.4,1000,0
Tzachi,Raoult, 251,109-1250,SAWYERVILLE,AL,36776,S,Y,43000,5.0,1500,300
Jeeho,Mirandola, 302,122-1198,CHESWOLD,DE,19936,S,N,27500,3.7340908,110,0
Karl,Eyre, 843,140-1699,MURRELLS INLET,SC,29576,M,N,72500,7.0,0,0
Tomoyoshi,Colignon, 334,179-1625,MC SHAN,AL,35471,M,N,71000,5.0,0,0
Kolar,Nori, 440,155-2035,TOLEDO,OH,43667,S,N,57000,2.4381335,1300,0
Xiaolan,Abdat, 406,178-1649,RAYMOND,MT,59256,S,N,83000,6.9,1900,0
Zhang,Doo, 817,156-1003,SAN ANTONIO,TX,78217,M,N,13500,0.0,0,0
Ward,Osteen, 608,187-1494,NELSONVILLE,WI,54458,S,Y,73000,5.714789,700,400
Deepika,Lindgreen, 719,159-1030,ALAMOSA,CO,81101,M,Y,82500,4.63,0,0
Bernt,Mausberg, 814,107-1775,PHILADELPHIA,PA,19194,M,Y,79500,3.07,0,0
Merik,Evens, 502,165-1372,HICKMAN,KY,42050,S,Y,43000,4.2222223,20,20
Astro,Knightly, 803,170-1968,ADAMS RUN,SC,29426,M,Y,92500,7.0,0,3300
Derrick,Lesser, 435,183-1947,BICKNELL,UT,84715,S,N,2000,3.8489566,2475,0
Domen,Rosengren, 262,127-1225,WAUKESHA,WI,53188,S,N,64000,5.5584126,700,0
Cuneyt,Koppol, 202,108-1372,WASHINGTON,DC,20214,M,N,62000,9.0,0,0
Dekai,Talbott, 978,184-1060,NORTH WEYMOUTH,MA,02191,S,Y,59000,5.3,3575,1000
Zakarriae,Ajjanagadde, 603,150-1319,WATERVILLE VALLEY,NH,03215,M,Y,49000,0.0,0,0
Luiz,Koers, 803,117-1624,FORT MILL,SC,29707,S,N,65500,7.0,3300,0
Katsuo,Wittlich, 402,169-1548,LINCOLN,NE,68526,S,Y,57000,6.84,103,103
Jogg,Murli, 917,162-2096,OCEAN BEACH,NY,11770,M,Y,99000,4.527134,0,1000
Serafim,Petersson, 912,172-1470,FORT GAINES,GA,39851,S,N,38000,6.0,2700,0
Manilal,Pokrovskii, 715,147-2045,KNAPP,WI,54749,S,N,44000,5.21091,700,0
Leonarda,Handreke, 405,160-2066,INDIAHOMA,OK,73552,M,N,34000,6.25,0,0
Bouchung,Strater, 571,135-1913,BENTONVILLE,VA,22610,M,Y,81000,5.75,0,900
Tapan,Elenbaas, 212,126-1937,LINCOLNDALE,NY,10540,S,Y,51500,4.2519817,0,1000
Rossella,Norigoe, 201,120-1366,SADDLE BROOK,NJ,07663,M,Y,78000,2.3147082,0,1500
Gyu,Coggins, 505,124-1358,COUNSELOR,NM,87018,M,Y,65000,5.3,0,3300
Dhruba,Wolin, 860,116-1408,MASHANTUCKET,CT,06338,S,Y,78500,5.0,12750,0
Maryalice,Westin, 701,112-2058,RIVERDALE,ND,58565,M,N,11500,2.1,0,0
Bilhanan,Bivens, 207,189-1242,MECHANIC FALLS,ME,04256,M,N,55000,8.5,0,0
Frances,Colliat, 551,189-1015,PLAINFIELD,NJ,07063,M,N,80500,2.3541355,0,0
Saumya,Farrag, 864,131-1528,LANE,SC,29564,S,N,60000,7.0,3300,0
Ganrav,Delaune, 304,142-1868,CHARLESTON,WV,25312,M,N,77000,6.5,0,0
Andrzej,Nord, 918,191-1274,GENE AUTRY,OK,73436,M,N,87000,6.25,0,0
Kaichang,Canulette, 970,103-1793,GUNNISON,CO,81247,M,Y,7500,4.63,0,0
Jaijeet,Udding, 801,189-1465,SALT LAKE CITY,UT,84145,S,N,67000,7.0,2475,0
Izabela,Speer, 913,164-1571,QUENEMO,KS,66528,M,N,76500,6.45,0,0
Arbee,Kompanek, 802,152-1417,WASHINGTON,VT,05675,M,Y,87000,4.736031,0,3300
Goker,Tuchel, 802,101-1656,JOHNSON,VT,05656,S,Y,55500,4.109324,3300,3300
